X,Y,Attention
37,36,-3.1477742195129395
37,292,3.134636878967285
37,548,2.0067405700683594
37,804,0.7692502737045288
37,1060,1.4708633422851562
37,1316,0.45118701457977295
37,1572,-1.734933614730835
37,1828,-4.532167911529541
37,2084,-0.7038994431495667
37,2340,-3.0884907245635986
37,2596,0.24718822538852692
37,2852,-1.7886604070663452
37,3108,-1.5803622007369995
37,3364,-7.1107635498046875
293,36,-1.7742191553115845
293,292,-7.491124629974365
293,548,-0.528981626033783
293,804,-1.1129050254821777
293,1060,-1.9780009984970093
293,1316,-1.8573206663131714
293,1572,-5.054473876953125
293,1828,-4.053730010986328
293,2084,-8.36607837677002
293,2340,-4.880965709686279
293,2596,-5.935919284820557
293,2852,-3.605769157409668
293,3108,-5.039994239807129
293,3364,-6.079438209533691
293,3620,-2.438645601272583
549,36,-4.5729217529296875
549,292,-4.5130767822265625
549,548,-6.954492568969727
549,804,-1.8784878253936768
549,1060,-1.2251698970794678
549,1316,-1.9405990839004517
549,1572,-2.4456002712249756
549,1828,-6.082972526550293
549,2084,-4.116645336151123
549,2340,-7.022689342498779
549,2596,-6.595759868621826
549,2852,-3.786163091659546
549,3108,-5.212622165679932
549,3364,-4.916845321655273
549,3620,-8.000775337219238
805,36,-3.817148208618164
805,292,-5.201459884643555
805,548,-7.196271896362305
805,804,-7.161227703094482
805,1060,-0.9723491072654724
805,1316,-1.6586312055587769
805,1572,-2.264554262161255
805,1828,-3.0355396270751953
805,2084,-5.461275100708008
805,2340,-7.571095943450928
805,2596,-4.674592971801758
805,2852,-5.706911563873291
805,3108,-3.1882479190826416
805,3364,-6.172990798950195
805,3620,-4.643525123596191
805,3876,-5.94365119934082
1061,36,-4.775758266448975
1061,292,-5.93889856338501
1061,548,-0.5114889144897461
1061,804,-6.27370023727417
1061,1060,-7.603432655334473
1061,1316,-0.12615324556827545
1061,1572,-2.5343539714813232
1061,1828,-1.7566462755203247
1061,2084,-4.281804084777832
1061,2340,-4.2714619636535645
1061,2596,-7.843433380126953
1061,2852,-5.326990604400635
1061,3108,-4.325113773345947
1061,3364,-4.718990325927734
1061,3620,-5.189589500427246
1061,3876,-4.561892986297607
1061,4132,-4.5751447677612305
1061,4388,-1.7071915864944458
1317,36,-7.117513179779053
1317,292,-3.406679391860962
1317,548,-6.91255521774292
1317,804,-2.73319673538208
1317,1060,-6.797126770019531
1317,1316,-7.474442481994629
1317,1572,-0.7934446930885315
1317,1828,-2.755568504333496
1317,2084,-1.9269593954086304
1317,2340,-6.315235614776611
1317,2596,-6.515897274017334
1317,2852,-3.614149808883667
1317,3108,-5.935163497924805
1317,3364,-3.1346700191497803
1317,3620,-5.485853672027588
1317,3876,-5.43951940536499
1317,4132,-4.942501068115234
1317,4388,-4.959969997406006
1317,4644,-5.06000280380249
1317,4900,-5.194661617279053
1317,5156,-5.973944664001465
1317,5412,-6.1460089683532715
1317,5668,-5.954675674438477
1317,5924,-2.2543740272521973
1317,6180,-1.0291310548782349
1317,6436,-1.4025955200195312
1573,36,-0.03768688067793846
1573,292,-3.065584659576416
1573,548,-6.138235092163086
1573,804,-7.603055000305176
1573,1060,-5.720181465148926
1573,1316,-6.13689661026001
1573,1572,-5.557039737701416
1573,1828,-1.9610227346420288
1573,2084,-1.9899405241012573
1573,2340,-3.9386377334594727
1573,2596,-4.489285469055176
1573,2852,-7.047808647155762
1573,3108,-3.6354851722717285
1573,3364,-4.232386589050293
1573,3620,-3.3981361389160156
1573,3876,-5.029062747955322
1573,4132,-5.34072208404541
1573,4388,-5.220207691192627
1573,4644,-6.070176601409912
1573,4900,-6.535641193389893
1573,5156,-5.913822650909424
1573,5412,-5.830352306365967
1573,5668,-5.9920973777771
1573,5924,-5.766127586364746
1573,6180,-5.652450084686279
1573,6436,-5.7995100021362305
1573,6692,-4.848787307739258
1573,6948,-2.094613552093506
1829,36,-1.095860242843628
1829,292,-3.4072225093841553
1829,548,-1.1792542934417725
1829,804,-1.1505255699157715
1829,1060,-5.618804931640625
1829,1316,-6.1918535232543945
1829,1572,-6.874011039733887
1829,1828,-2.08754301071167
1829,2084,-2.923121213912964
1829,2340,-1.533692717552185
1829,2596,-5.638816833496094
1829,2852,-6.364716529846191
1829,3108,-2.952089548110962
1829,3364,-3.895597457885742
1829,3620,-4.0315680503845215
1829,3876,-3.7304651737213135
1829,4132,-4.282646179199219
1829,4388,-4.457055568695068
1829,4644,-5.019484519958496
1829,4900,-5.173549175262451
1829,5156,-4.473400115966797
1829,5412,-4.385545253753662
1829,5668,-4.1437764167785645
1829,5924,-4.2568769454956055
1829,6180,-4.575600624084473
1829,6436,-5.283810138702393
1829,6692,-5.285803318023682
1829,6948,-5.2659430503845215
