X,Y,Attention
45,44,0.7671441435813904
45,300,0.004066300578415394
45,556,-0.355132520198822
45,812,-0.4334386885166168
45,1068,-0.6113501191139221
45,1324,-5.782933235168457
45,1580,-5.775227069854736
45,1836,-2.2036731243133545
45,2092,-4.604090213775635
45,2348,-9.076869010925293
45,2604,-2.734969139099121
45,2860,-2.9840469360351562
45,3116,-1.2417609691619873
45,3372,-1.8903627395629883
45,3628,-1.9328254461288452
45,3884,-1.6095664501190186
45,4140,-1.419489860534668
45,4396,-0.7333368062973022
45,4652,-1.9478665590286255
45,4908,-2.344496726989746
45,5164,-2.590348243713379
45,5420,-2.520219326019287
45,5676,-2.587195873260498
45,5932,-2.5049991607666016
45,6188,-2.6167657375335693
45,6444,-2.6778366565704346
45,6700,-2.865770101547241
45,6956,-1.817083716392517
45,7212,-3.5712060928344727
301,44,-2.347933769226074
301,300,-3.8081278800964355
301,556,-4.1544575691223145
301,812,-3.9956586360931396
301,1068,-5.892024517059326
301,1324,-6.481796741485596
301,1580,-8.208784103393555
301,1836,-5.266463756561279
301,2092,-7.236743927001953
301,2348,-9.166218757629395
301,2604,-6.08361291885376
301,2860,-5.832701206207275
301,3116,-5.044583320617676
301,3372,-5.293588161468506
301,3628,-5.264227867126465
301,3884,-5.121773719787598
301,4140,-5.050177574157715
301,4396,-4.3758544921875
301,4652,-5.160772800445557
301,4908,-5.790465354919434
301,5164,-5.920042991638184
301,5420,-5.9334540367126465
301,5676,-5.993664741516113
301,5932,-5.9428629875183105
301,6188,-5.908414840698242
301,6444,-5.922718048095703
301,6700,-5.567280292510986
301,6956,-5.385538101196289
301,7212,-6.148552417755127
557,44,-2.9716804027557373
557,300,-4.081295967102051
557,556,-5.058183193206787
557,812,-7.688167572021484
557,1068,-8.485451698303223
557,1324,-7.276040077209473
557,1580,-4.184180736541748
557,1836,-6.92319393157959
557,2092,-10.499312400817871
557,2348,-6.369145393371582
557,2604,-6.4908294677734375
557,2860,-5.128475189208984
557,3116,-5.92455530166626
557,3372,-5.241264820098877
557,3628,-5.210346221923828
