enrichm,p_higher_orig,p_lower_orig,PI_value,cell_1,cell_2
3.36242287311542,0,1,6.72484574623084,CTL,CTL
2.7030106283501,0,1,5.40602125670021,Helper T-Cell,Helper T-Cell
2.42621729840891,0,1,4.85243459681782,APC,APC
-1.93100817814079,1,0,-3.86201635628158,Helper T-Cell,Tumor
-1.64412095509315,1,0,-3.2882419101863,Other,Tumor
1.63214276921093,0,1,3.26428553842187,APC,CTL
1.58997253261102,0,1,3.17994506522203,CTL,Helper T-Cell
-1.29215573448366,1,0,-2.58431146896732,APC,Tumor
-1.19469776672594,1,0,-2.38939553345187,CTL,Tumor
1.14974075169105,0,1,2.2994815033821,APC,Helper T-Cell
1.0527624748062,0,1,2.1055249496124,Other,Other
-0.790772037862,0.99,0.03,-1.10545186946641,Other,T-reg
0.623701702072423,0,1,1.24740340414485,Tumor,Tumor
0.315270726691426,0,1,0.630541453382852,APC,Other
0.279522528622363,0.43,0.82,0.0996630094421165,Helper T-Cell,T-reg
-0.255654875468196,1,0.84,-0.018044395756924,CTL,T-reg
0.133810950089773,0,1,0.267621900179547,Helper T-Cell,Other
0.129283016944966,0.65,0.88,0.0233299044391626,APC,T-reg
-0.113784640760732,0.98,0.02,-0.173280210953878,CTL,Other
0.106560122683883,0.33,0.76,0.049925664079963,T-reg,Tumor
0,1,1,0,T-reg,T-reg
